CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Dewi Fauzan,50,sudah menikah,73267,laki-laki,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,2
Taufik Mahendra,48,sudah menikah,47312,laki-laki,5,0,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Putri Rachman,62,belum menikah,115946,laki-laki,5,1,Post-graduate,management,tidak memiliki rumah sendiri,0
Vina Mahendra,18,sudah menikah,86930,laki-laki,3,0,S2,clerical work,memiliki rumah sendiri,0
Yusuf Fauzan,48,sudah menikah,49540,perempuan,3,2,SMA,management,tidak memiliki rumah sendiri,1
Gita Fauzan,54,sudah menikah,138990,laki-laki,2,1,SMA,management,memiliki rumah sendiri,2
Usman Susanto,21,sudah menikah,80616,laki-laki,5,2,S1,management,memiliki rumah sendiri,3
Putri Wibowo,44,sudah menikah,114076,laki-laki,0,4,S2,sales,memiliki rumah sendiri,0
Rizki Wijaya,59,sudah menikah,80023,perempuan,0,0,S2,sales,tidak memiliki rumah sendiri,2
Rizki Wahyuni,49,sudah menikah,118282,laki-laki,1,2,S1,clerical work,tidak memiliki rumah sendiri,0
Joko Sari,19,sudah menikah,123378,perempuan,3,1,S1,management,memiliki rumah sendiri,3
Budi Fauzan,50,sudah menikah,138827,perempuan,5,0,S3,clerical work,memiliki rumah sendiri,3
Eko Pratama,19,sudah menikah,46975,perempuan,0,4,S2,professional,memiliki rumah sendiri,2
Siti Santoso,36,belum menikah,65848,perempuan,4,2,S2,unskilled manual work,memiliki rumah sendiri,0
Putri Purnomo,44,sudah menikah,25138,laki-laki,4,1,S2,unskilled manual work,tidak memiliki rumah sendiri,2
Indra Utomo,40,sudah menikah,145634,perempuan,5,1,S3,clerical work,tidak memiliki rumah sendiri,1
Hadi Wijaya,28,belum menikah,22000,laki-laki,5,4,S2,management,memiliki rumah sendiri,3
Zainab Fauzan,35,sudah menikah,45801,perempuan,4,1,SMA,clerical work,tidak memiliki rumah sendiri,3
Eko Rachman,19,sudah menikah,33316,laki-laki,3,1,S1,sales,memiliki rumah sendiri,0
Maya Hidayat,27,sudah menikah,79575,perempuan,2,1,S3,sales,memiliki rumah sendiri,1
Wati Muliawan,52,sudah menikah,63084,perempuan,1,0,S2,management,tidak memiliki rumah sendiri,3
Lina Utomo,51,belum menikah,94671,perempuan,2,0,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Usman Mahendra,69,sudah menikah,38219,perempuan,2,1,S2,management,memiliki rumah sendiri,0
Joko Sari,51,sudah menikah,91504,laki-laki,3,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Dewi Mahendra,50,belum menikah,83385,laki-laki,0,1,S3,management,memiliki rumah sendiri,1
Eko Susanto,61,sudah menikah,119162,laki-laki,4,1,S2,unskilled manual work,tidak memiliki rumah sendiri,2
Fitri Fauzan,39,belum menikah,31991,laki-laki,2,0,SMA,clerical work,tidak memiliki rumah sendiri,2
Usman Susanto,46,sudah menikah,132397,perempuan,0,4,S1,clerical work,tidak memiliki rumah sendiri,1
Lina Muliawan,43,sudah menikah,22904,laki-laki,3,2,SMA,clerical work,memiliki rumah sendiri,0
Dewi Wibowo,25,belum menikah,67169,laki-laki,1,2,S3,professional,tidak memiliki rumah sendiri,0
Budi Hakim,52,sudah menikah,81694,perempuan,3,0,Post-graduate,sales,tidak memiliki rumah sendiri,2
Joko Setiawan,35,sudah menikah,82513,laki-laki,3,2,SMA,sales,tidak memiliki rumah sendiri,3
Dewi Wibowo,23,sudah menikah,53013,laki-laki,3,2,Post-graduate,professional,memiliki rumah sendiri,0
Agus Hidayat,45,belum menikah,127631,laki-laki,4,0,SMA,clerical work,memiliki rumah sendiri,0
Usman Setiawan,21,belum menikah,143401,laki-laki,4,1,S2,sales,tidak memiliki rumah sendiri,3
Vina Wijaya,55,belum menikah,99419,laki-laki,3,2,S2,sales,tidak memiliki rumah sendiri,2
Agus Muliawan,68,belum menikah,121786,laki-laki,0,0,S1,sales,tidak memiliki rumah sendiri,2
Zainab Utomo,30,belum menikah,48341,perempuan,1,0,Post-graduate,management,memiliki rumah sendiri,0
Siti Fauzan,51,sudah menikah,139982,perempuan,0,0,S3,clerical work,tidak memiliki rumah sendiri,3
Cahyadi Muliawan,31,sudah menikah,147217,laki-laki,5,2,SMA,clerical work,tidak memiliki rumah sendiri,2
Fitri Santoso,54,belum menikah,118603,laki-laki,3,5,S1,professional,tidak memiliki rumah sendiri,2
Lina Setiawan,58,belum menikah,121450,laki-laki,3,2,S3,sales,memiliki rumah sendiri,0
Indra Pratama,20,sudah menikah,99378,laki-laki,4,0,Post-graduate,skilled manual work,memiliki rumah sendiri,0
Fitri Mahendra,43,belum menikah,57027,laki-laki,2,0,S2,skilled manual work,tidak memiliki rumah sendiri,3
Wati Utomo,55,belum menikah,93514,laki-laki,2,1,SMA,sales,tidak memiliki rumah sendiri,1
Gita Anggraini,34,belum menikah,76113,laki-laki,3,0,S2,management,memiliki rumah sendiri,3
Lina Pratama,31,belum menikah,135207,laki-laki,4,0,SMA,sales,memiliki rumah sendiri,3
Putri Santoso,52,sudah menikah,87231,laki-laki,0,4,S2,professional,memiliki rumah sendiri,1
Taufik Fauzan,46,sudah menikah,38130,perempuan,5,3,SMA,professional,tidak memiliki rumah sendiri,3
Yusuf Rachman,18,sudah menikah,101851,perempuan,1,0,S1,sales,tidak memiliki rumah sendiri,2
Taufik Anggraini,26,belum menikah,136099,perempuan,0,2,S2,professional,tidak memiliki rumah sendiri,3
Lina Anggraini,22,belum menikah,54337,laki-laki,3,4,Post-graduate,professional,memiliki rumah sendiri,1
Rizki Muliawan,22,sudah menikah,36230,perempuan,3,0,Post-graduate,management,memiliki rumah sendiri,2
Yusuf Setiawan,23,belum menikah,83696,laki-laki,3,2,SMA,management,tidak memiliki rumah sendiri,3
Wati Putra,59,sudah menikah,55513,laki-laki,3,2,S1,clerical work,memiliki rumah sendiri,1
Joko Muliawan,49,sudah menikah,60765,perempuan,3,2,S2,clerical work,tidak memiliki rumah sendiri,1
Kartini Hakim,22,sudah menikah,24083,perempuan,4,0,S3,management,tidak memiliki rumah sendiri,1
Budi Sari,32,sudah menikah,117525,laki-laki,4,5,S3,management,tidak memiliki rumah sendiri,3
Eko Pratama,26,sudah menikah,93111,laki-laki,4,4,S3,professional,memiliki rumah sendiri,0
Taufik Haryanto,63,belum menikah,128735,laki-laki,1,3,S1,professional,memiliki rumah sendiri,2
Fitri Pratama,32,belum menikah,100443,laki-laki,5,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Usman Haryanto,31,sudah menikah,117872,laki-laki,3,1,S2,sales,tidak memiliki rumah sendiri,2
Putri Putra,58,sudah menikah,131128,laki-laki,2,3,S3,professional,tidak memiliki rumah sendiri,3
Putri Fauzan,64,belum menikah,66507,laki-laki,2,1,Post-graduate,professional,memiliki rumah sendiri,2
Siti Wijaya,25,sudah menikah,67777,perempuan,2,1,S2,management,memiliki rumah sendiri,2
Putri Putra,30,sudah menikah,68000,laki-laki,0,0,Post-graduate,management,tidak memiliki rumah sendiri,1
Nina Wijaya,53,belum menikah,61008,perempuan,0,1,S1,unskilled manual work,tidak memiliki rumah sendiri,1
Fitri Pratama,27,sudah menikah,128902,perempuan,0,1,S1,skilled manual work,memiliki rumah sendiri,2
Budi Sari,34,belum menikah,144434,laki-laki,5,1,S1,sales,memiliki rumah sendiri,0
Taufik Putra,23,belum menikah,128605,laki-laki,1,2,SMA,sales,tidak memiliki rumah sendiri,3
Indra Anggraini,52,sudah menikah,70571,laki-laki,1,0,S2,management,tidak memiliki rumah sendiri,0
Indra Utomo,31,sudah menikah,21936,perempuan,1,3,S1,professional,tidak memiliki rumah sendiri,2
Nina Susanto,33,belum menikah,51385,laki-laki,4,1,SMA,professional,tidak memiliki rumah sendiri,0
Gita Purnomo,59,sudah menikah,88696,laki-laki,2,1,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Budi Setiawan,28,belum menikah,25359,perempuan,5,2,SMA,clerical work,memiliki rumah sendiri,3
Siti Haryanto,31,belum menikah,20009,perempuan,1,2,S3,sales,memiliki rumah sendiri,1
Zainab Pratama,57,belum menikah,84238,perempuan,2,0,S2,management,memiliki rumah sendiri,2
Taufik Haryanto,57,sudah menikah,127764,laki-laki,2,3,S2,clerical work,tidak memiliki rumah sendiri,2
Siti Wijaya,23,belum menikah,24535,laki-laki,1,0,S2,skilled manual work,memiliki rumah sendiri,3
Kartini Sari,69,sudah menikah,84758,laki-laki,1,0,S1,management,tidak memiliki rumah sendiri,3
Gita Sari,57,sudah menikah,96952,perempuan,1,2,S1,clerical work,tidak memiliki rumah sendiri,0
Siti Anggraini,33,sudah menikah,141445,perempuan,3,2,Post-graduate,sales,tidak memiliki rumah sendiri,2
Dewi Hidayat,63,belum menikah,79387,laki-laki,3,1,S1,sales,memiliki rumah sendiri,1
Eko Wibowo,31,sudah menikah,59158,perempuan,0,0,S3,management,memiliki rumah sendiri,0
Dewi Mahendra,52,sudah menikah,27719,perempuan,5,2,S3,sales,tidak memiliki rumah sendiri,1
Kartini Putra,59,belum menikah,70627,perempuan,1,3,S2,clerical work,memiliki rumah sendiri,0
Putri Muliawan,22,sudah menikah,122585,perempuan,3,1,SMA,management,memiliki rumah sendiri,0
Kartini Wibowo,24,sudah menikah,51942,perempuan,0,3,S2,skilled manual work,memiliki rumah sendiri,0
Joko Sari,63,belum menikah,87814,laki-laki,1,2,SMA,sales,tidak memiliki rumah sendiri,1
Putri Hidayat,58,sudah menikah,115844,laki-laki,3,2,S3,skilled manual work,tidak memiliki rumah sendiri,0
Zainab Anggraini,53,belum menikah,42915,laki-laki,1,1,S3,sales,memiliki rumah sendiri,2
Kartini Utomo,35,sudah menikah,21048,perempuan,0,3,S1,professional,tidak memiliki rumah sendiri,0
Joko Hidayat,30,sudah menikah,95440,laki-laki,3,0,S1,professional,memiliki rumah sendiri,1
Wati Fauzan,47,belum menikah,134568,laki-laki,2,0,S2,clerical work,memiliki rumah sendiri,3
Rizki Hakim,29,belum menikah,73233,laki-laki,5,0,SMA,unskilled manual work,memiliki rumah sendiri,0
Fitri Putra,66,sudah menikah,101930,laki-laki,5,2,SMA,clerical work,tidak memiliki rumah sendiri,3
Eko Hakim,27,sudah menikah,21500,laki-laki,4,0,S1,management,memiliki rumah sendiri,1
Fitri Mahendra,28,sudah menikah,37003,laki-laki,0,0,S3,professional,tidak memiliki rumah sendiri,3
Indra Setiawan,66,belum menikah,149462,laki-laki,4,2,Post-graduate,sales,memiliki rumah sendiri,1
Vina Fauzan,64,sudah menikah,32306,laki-laki,0,0,S3,skilled manual work,tidak memiliki rumah sendiri,2
Taufik Setiawan,24,sudah menikah,83277,perempuan,1,0,S1,professional,tidak memiliki rumah sendiri,0
Agus Fauzan,57,belum menikah,104078,laki-laki,1,0,S1,sales,memiliki rumah sendiri,2
Agus Susanto,35,belum menikah,80262,perempuan,0,1,S1,clerical work,memiliki rumah sendiri,0
Wati Wahyuni,59,sudah menikah,111071,laki-laki,3,1,SMA,clerical work,memiliki rumah sendiri,3
Dewi Wahyuni,18,belum menikah,148758,perempuan,1,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Lina Hakim,59,belum menikah,141641,laki-laki,3,0,S1,unskilled manual work,memiliki rumah sendiri,3
Hadi Mahendra,60,sudah menikah,123193,laki-laki,0,3,Post-graduate,professional,tidak memiliki rumah sendiri,3
Usman Saputra,37,belum menikah,68955,perempuan,4,1,S3,sales,memiliki rumah sendiri,1
Vina Hakim,66,belum menikah,130065,perempuan,0,0,S1,sales,memiliki rumah sendiri,1
Usman Hakim,19,sudah menikah,142423,laki-laki,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,1
Wati Pratama,38,belum menikah,126348,perempuan,4,1,S2,clerical work,memiliki rumah sendiri,1
Cahyadi Sari,64,belum menikah,67400,perempuan,5,0,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Vina Wahyuni,31,sudah menikah,91621,perempuan,4,0,S1,sales,memiliki rumah sendiri,1
Joko Setiawan,28,belum menikah,138352,laki-laki,1,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Zainab Wibowo,44,belum menikah,118853,laki-laki,0,1,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Zainab Rachman,19,sudah menikah,47443,perempuan,1,4,Post-graduate,sales,tidak memiliki rumah sendiri,0
Taufik Muliawan,63,sudah menikah,120033,perempuan,1,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,2
Siti Pratama,69,sudah menikah,124852,perempuan,0,0,S1,skilled manual work,tidak memiliki rumah sendiri,3
Nina Anggraini,42,belum menikah,85984,laki-laki,0,0,SMA,professional,memiliki rumah sendiri,0
Taufik Rachman,28,belum menikah,83591,laki-laki,4,0,S2,clerical work,tidak memiliki rumah sendiri,3
Eko Anggraini,23,sudah menikah,109179,laki-laki,4,4,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
Usman Pratama,36,belum menikah,104383,perempuan,3,1,S1,professional,tidak memiliki rumah sendiri,0
Cahyadi Anggraini,64,sudah menikah,104443,laki-laki,5,0,S1,sales,tidak memiliki rumah sendiri,1
Maya Utomo,47,belum menikah,30080,perempuan,3,1,S3,professional,tidak memiliki rumah sendiri,0
Cahyadi Susanto,48,sudah menikah,57857,perempuan,5,0,S2,unskilled manual work,memiliki rumah sendiri,3
Gita Wibowo,36,belum menikah,63972,laki-laki,0,4,S2,clerical work,tidak memiliki rumah sendiri,1
Rizki Saputra,31,belum menikah,36478,laki-laki,2,1,S3,professional,memiliki rumah sendiri,1
Gita Sari,40,belum menikah,100011,laki-laki,3,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Eko Wibowo,33,belum menikah,123581,laki-laki,4,3,Post-graduate,professional,memiliki rumah sendiri,2
Vina Purnomo,36,belum menikah,117085,laki-laki,1,0,S2,sales,memiliki rumah sendiri,2
Yusuf Purnomo,57,sudah menikah,109459,perempuan,0,2,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Eko Pratama,35,sudah menikah,57914,perempuan,3,0,S3,skilled manual work,memiliki rumah sendiri,1
Rizki Purnomo,40,sudah menikah,126358,laki-laki,3,3,S2,sales,memiliki rumah sendiri,2
Agus Setiawan,21,belum menikah,138692,perempuan,1,1,SMA,professional,memiliki rumah sendiri,2
Zainab Mahendra,37,sudah menikah,54962,laki-laki,1,0,S1,skilled manual work,tidak memiliki rumah sendiri,2
Fitri Pratama,23,belum menikah,128311,perempuan,3,5,SMA,management,memiliki rumah sendiri,0
Hadi Utomo,58,sudah menikah,130567,perempuan,3,2,S1,clerical work,memiliki rumah sendiri,2
Indra Hakim,31,sudah menikah,80621,laki-laki,1,3,S3,professional,memiliki rumah sendiri,1
Agus Sari,40,belum menikah,107149,laki-laki,0,3,SMA,management,memiliki rumah sendiri,3
Agus Pratama,47,belum menikah,59744,laki-laki,5,1,SMA,sales,tidak memiliki rumah sendiri,3
Siti Muliawan,46,belum menikah,62257,laki-laki,1,0,SMA,professional,memiliki rumah sendiri,3
Zainab Saputra,54,belum menikah,114875,laki-laki,3,0,S2,sales,tidak memiliki rumah sendiri,3
Gita Putra,44,belum menikah,60135,perempuan,2,0,S2,professional,tidak memiliki rumah sendiri,3
Taufik Purnomo,31,sudah menikah,97359,perempuan,0,1,Post-graduate,management,memiliki rumah sendiri,1
Indra Susanto,38,sudah menikah,35465,perempuan,2,0,S2,professional,memiliki rumah sendiri,3
Joko Pratama,50,sudah menikah,111472,laki-laki,2,0,Post-graduate,professional,memiliki rumah sendiri,1
Putri Setiawan,49,belum menikah,137900,laki-laki,2,2,Post-graduate,professional,tidak memiliki rumah sendiri,1
Joko Mahendra,56,sudah menikah,80443,laki-laki,5,1,S3,management,tidak memiliki rumah sendiri,1
Vina Muliawan,45,belum menikah,121567,perempuan,1,3,S2,skilled manual work,memiliki rumah sendiri,0
Yusuf Susanto,63,sudah menikah,77022,perempuan,4,5,S3,clerical work,memiliki rumah sendiri,2
Kartini Santoso,62,sudah menikah,117415,perempuan,0,2,S2,management,memiliki rumah sendiri,3
Dewi Pratama,20,sudah menikah,31417,perempuan,3,1,S1,management,memiliki rumah sendiri,2
Eko Fauzan,55,sudah menikah,35590,laki-laki,3,1,S2,management,memiliki rumah sendiri,0
Vina Purnomo,37,belum menikah,36250,perempuan,3,0,S2,management,memiliki rumah sendiri,3
Maya Fauzan,24,belum menikah,91338,laki-laki,4,0,S2,sales,tidak memiliki rumah sendiri,3
Zainab Haryanto,23,sudah menikah,77285,laki-laki,1,2,S3,sales,tidak memiliki rumah sendiri,2
Agus Muliawan,43,belum menikah,44309,laki-laki,2,1,SMA,clerical work,tidak memiliki rumah sendiri,2
Yusuf Hakim,46,sudah menikah,62542,laki-laki,1,3,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Dewi Wijaya,68,belum menikah,50999,perempuan,0,3,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Wati Saputra,68,belum menikah,48562,perempuan,0,1,Post-graduate,management,tidak memiliki rumah sendiri,1
Lina Fauzan,44,belum menikah,48361,laki-laki,3,0,S1,skilled manual work,tidak memiliki rumah sendiri,2
Maya Rachman,26,belum menikah,103071,perempuan,0,0,S2,unskilled manual work,memiliki rumah sendiri,3
Maya Hidayat,18,belum menikah,23208,perempuan,0,1,S2,sales,memiliki rumah sendiri,3
Kartini Utomo,21,belum menikah,88190,laki-laki,3,3,S1,clerical work,memiliki rumah sendiri,2
Dewi Hakim,29,sudah menikah,142533,laki-laki,2,0,S3,skilled manual work,tidak memiliki rumah sendiri,0
Rizki Muliawan,18,sudah menikah,143515,laki-laki,5,0,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Dewi Purnomo,49,sudah menikah,79740,perempuan,5,3,S3,sales,memiliki rumah sendiri,3
Maya Anggraini,31,belum menikah,43468,perempuan,1,0,Post-graduate,sales,memiliki rumah sendiri,1
Budi Wibowo,47,belum menikah,135719,laki-laki,2,0,SMA,clerical work,memiliki rumah sendiri,2
Gita Santoso,32,belum menikah,62210,perempuan,4,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Siti Utomo,22,belum menikah,128455,laki-laki,3,0,S2,unskilled manual work,memiliki rumah sendiri,2
Nina Anggraini,61,belum menikah,40828,perempuan,2,2,SMA,clerical work,memiliki rumah sendiri,2
Cahyadi Setiawan,47,sudah menikah,41376,laki-laki,3,0,SMA,clerical work,tidak memiliki rumah sendiri,1
Zainab Wahyuni,22,belum menikah,107549,perempuan,5,1,S2,sales,memiliki rumah sendiri,2
Yusuf Mahendra,52,sudah menikah,143431,laki-laki,5,0,SMA,sales,tidak memiliki rumah sendiri,0
Fitri Setiawan,28,belum menikah,22778,laki-laki,1,0,Post-graduate,sales,memiliki rumah sendiri,2
Nina Putra,46,sudah menikah,99832,laki-laki,3,2,S3,clerical work,memiliki rumah sendiri,0
Cahyadi Putra,28,sudah menikah,86556,perempuan,0,0,S2,sales,tidak memiliki rumah sendiri,1
Siti Hidayat,68,belum menikah,113190,laki-laki,0,1,S1,unskilled manual work,memiliki rumah sendiri,3
Gita Muliawan,20,sudah menikah,71970,perempuan,1,1,S2,management,tidak memiliki rumah sendiri,1
Putri Anggraini,22,belum menikah,46976,perempuan,2,1,S1,sales,memiliki rumah sendiri,0
Kartini Putra,69,belum menikah,42819,laki-laki,2,0,SMA,professional,memiliki rumah sendiri,2
Wati Susanto,66,sudah menikah,99597,perempuan,5,2,S1,professional,memiliki rumah sendiri,1
Cahyadi Santoso,30,belum menikah,105161,perempuan,4,0,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Gita Purnomo,18,belum menikah,132633,perempuan,0,2,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Hadi Saputra,52,belum menikah,114997,laki-laki,2,1,S2,skilled manual work,memiliki rumah sendiri,1
Rizki Wijaya,26,sudah menikah,38430,laki-laki,2,2,S2,clerical work,memiliki rumah sendiri,0
Taufik Sari,64,belum menikah,49557,laki-laki,0,0,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Zainab Wijaya,39,sudah menikah,59519,laki-laki,4,0,SMA,management,tidak memiliki rumah sendiri,0
Vina Setiawan,30,belum menikah,148025,laki-laki,0,0,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Taufik Putra,32,sudah menikah,114007,perempuan,4,1,S3,skilled manual work,tidak memiliki rumah sendiri,2
Zainab Hidayat,42,sudah menikah,148970,perempuan,1,0,S2,skilled manual work,memiliki rumah sendiri,1
Rizki Purnomo,36,sudah menikah,130981,laki-laki,2,0,S2,professional,tidak memiliki rumah sendiri,0
Putri Utomo,51,sudah menikah,148445,perempuan,5,1,S2,clerical work,memiliki rumah sendiri,3
Joko Utomo,18,belum menikah,26948,perempuan,0,3,S1,sales,memiliki rumah sendiri,2
Siti Santoso,22,belum menikah,76680,perempuan,1,1,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Taufik Sari,69,sudah menikah,46971,perempuan,3,1,S1,professional,tidak memiliki rumah sendiri,0
Gita Hakim,69,belum menikah,101503,laki-laki,2,0,Post-graduate,sales,memiliki rumah sendiri,3
Fitri Santoso,22,belum menikah,48362,perempuan,0,0,SMA,sales,memiliki rumah sendiri,0
Cahyadi Haryanto,44,belum menikah,128286,laki-laki,4,0,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Vina Utomo,54,sudah menikah,82216,laki-laki,4,1,S1,skilled manual work,tidak memiliki rumah sendiri,0
Usman Haryanto,32,sudah menikah,122487,laki-laki,3,1,Post-graduate,sales,tidak memiliki rumah sendiri,1
Lina Putra,61,sudah menikah,53216,perempuan,3,0,S3,clerical work,tidak memiliki rumah sendiri,3
Vina Sari,31,sudah menikah,103531,laki-laki,0,3,S3,clerical work,memiliki rumah sendiri,0
Indra Santoso,41,belum menikah,145149,laki-laki,1,0,Post-graduate,professional,tidak memiliki rumah sendiri,1
Dewi Wahyuni,49,belum menikah,30224,perempuan,2,3,S1,sales,tidak memiliki rumah sendiri,2
Agus Santoso,39,belum menikah,124384,laki-laki,3,0,S3,unskilled manual work,memiliki rumah sendiri,0
Gita Wahyuni,32,belum menikah,29952,perempuan,4,3,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Hadi Wijaya,23,belum menikah,55483,perempuan,1,0,S1,professional,memiliki rumah sendiri,1
Rizki Haryanto,29,belum menikah,88654,perempuan,5,0,SMA,clerical work,memiliki rumah sendiri,0
Cahyadi Rachman,50,belum menikah,81696,laki-laki,4,0,SMA,clerical work,memiliki rumah sendiri,1
Nina Wijaya,36,sudah menikah,42385,perempuan,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Nina Hakim,34,belum menikah,84299,laki-laki,1,1,S2,professional,memiliki rumah sendiri,3
Yusuf Haryanto,54,belum menikah,44008,laki-laki,3,3,S3,unskilled manual work,memiliki rumah sendiri,2
Dewi Sari,42,belum menikah,55071,laki-laki,0,0,S1,clerical work,memiliki rumah sendiri,2
Dewi Putra,63,sudah menikah,66368,laki-laki,0,1,Post-graduate,professional,tidak memiliki rumah sendiri,1
Taufik Saputra,50,belum menikah,84746,perempuan,1,1,S3,management,tidak memiliki rumah sendiri,3
Dewi Putra,22,belum menikah,137613,perempuan,4,0,S2,management,tidak memiliki rumah sendiri,3
Budi Anggraini,28,sudah menikah,127344,perempuan,0,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Hadi Santoso,39,sudah menikah,130251,laki-laki,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Zainab Putra,19,belum menikah,122124,perempuan,1,3,SMA,professional,memiliki rumah sendiri,3
Eko Susanto,32,sudah menikah,129386,laki-laki,5,2,S2,sales,tidak memiliki rumah sendiri,3
Siti Saputra,21,belum menikah,91907,laki-laki,3,1,S3,management,tidak memiliki rumah sendiri,2
Joko Muliawan,18,belum menikah,91619,perempuan,4,0,S1,clerical work,memiliki rumah sendiri,1
Cahyadi Wahyuni,22,belum menikah,41770,laki-laki,1,0,SMA,professional,memiliki rumah sendiri,3
Zainab Setiawan,54,sudah menikah,76575,laki-laki,0,2,Post-graduate,clerical work,tidak memiliki rumah sendiri,0
Kartini Mahendra,60,belum menikah,117342,laki-laki,2,4,S1,unskilled manual work,memiliki rumah sendiri,3
Budi Mahendra,47,belum menikah,30629,perempuan,3,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Rizki Haryanto,18,belum menikah,136592,perempuan,1,1,S3,sales,tidak memiliki rumah sendiri,3
Vina Purnomo,59,sudah menikah,105426,laki-laki,2,4,S2,clerical work,tidak memiliki rumah sendiri,0
Rizki Hidayat,25,belum menikah,124714,perempuan,4,0,Post-graduate,sales,memiliki rumah sendiri,1
Eko Susanto,51,belum menikah,90754,laki-laki,0,1,SMA,management,tidak memiliki rumah sendiri,2
Wati Fauzan,41,belum menikah,136761,laki-laki,1,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Joko Pratama,41,sudah menikah,104475,perempuan,2,3,SMA,management,memiliki rumah sendiri,0
Rizki Fauzan,52,sudah menikah,62803,laki-laki,2,0,S3,clerical work,tidak memiliki rumah sendiri,2
Nina Saputra,54,sudah menikah,118702,perempuan,5,3,S3,management,memiliki rumah sendiri,2
Gita Santoso,19,sudah menikah,67055,laki-laki,5,2,Post-graduate,sales,memiliki rumah sendiri,3
Zainab Setiawan,59,sudah menikah,23004,laki-laki,0,0,Post-graduate,clerical work,memiliki rumah sendiri,2
Gita Purnomo,53,belum menikah,138553,laki-laki,5,1,S3,management,tidak memiliki rumah sendiri,2
Hadi Pratama,41,sudah menikah,23827,perempuan,0,1,S1,skilled manual work,memiliki rumah sendiri,0
Lina Wijaya,66,sudah menikah,122187,perempuan,4,1,S3,clerical work,memiliki rumah sendiri,0
Lina Mahendra,59,belum menikah,53400,laki-laki,4,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Putri Mahendra,39,sudah menikah,110031,perempuan,1,5,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Indra Wibowo,38,belum menikah,33445,laki-laki,1,0,S1,clerical work,memiliki rumah sendiri,0
Kartini Susanto,53,belum menikah,100469,laki-laki,0,4,S3,management,tidak memiliki rumah sendiri,3
Indra Fauzan,41,belum menikah,103103,perempuan,2,0,S1,professional,tidak memiliki rumah sendiri,3
Cahyadi Mahendra,23,sudah menikah,124302,perempuan,2,1,SMA,professional,tidak memiliki rumah sendiri,3
Vina Utomo,27,belum menikah,86650,perempuan,5,0,S3,skilled manual work,tidak memiliki rumah sendiri,0
Usman Mahendra,37,sudah menikah,142022,laki-laki,4,1,SMA,clerical work,memiliki rumah sendiri,2
Gita Mahendra,40,belum menikah,78105,laki-laki,2,1,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Gita Santoso,33,sudah menikah,125782,laki-laki,5,2,Post-graduate,sales,memiliki rumah sendiri,3
Eko Mahendra,27,belum menikah,46444,perempuan,2,3,Post-graduate,clerical work,tidak memiliki rumah sendiri,3
Budi Utomo,47,belum menikah,125499,laki-laki,1,3,S1,professional,tidak memiliki rumah sendiri,3
Joko Fauzan,25,belum menikah,84916,laki-laki,0,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Nina Rachman,68,belum menikah,42618,perempuan,4,2,S3,skilled manual work,tidak memiliki rumah sendiri,2
Agus Setiawan,64,sudah menikah,33847,perempuan,3,0,S1,clerical work,memiliki rumah sendiri,0
Wati Putra,61,belum menikah,74032,laki-laki,4,0,SMA,sales,tidak memiliki rumah sendiri,3
Vina Purnomo,23,sudah menikah,46567,perempuan,5,2,S1,unskilled manual work,memiliki rumah sendiri,2
